SLC,molLogP,molLogS,molArea,PSA/Area,nof_Atoms,nof_Chirals,nof_HBA,nof_HBD,nof_Rings,nof_posCharge,nof_negCharge,a_heavy,C_R1,C_sp3,posCharge/Volume,negCharge/Volume,nof_RotB,nof_Fragments,nof_PO4,nof_SO3H,nof_SH,nof_NH2,nof_COOH,nof_OH,nof_acetyl
OAT1,0.715357,-1.01931,218.89,0.24280963,25,0,5,2,1,0,-1,14,0,2,0,0,5,25,0,0,0,0,1,0,0
OAT1,-0.157986,-2.80704,270.314,0.402975799,32,3,9,2,2,1,-1,19,8,6,0,0.07344166,3,32,0,0,0,0,0,1,0
OAT1,-0.201409,-3.42919,502.584,0.287380816,57,2,14,4,4,1,-1,34,5,9,0.006923625,0.034618127,11,57,0,0,0,1,1,0,0
OAT1,1.44648,-3.36321,454.487,0.189316966,54,3,10,3,3,0,-2,30,5,8,0,0.058111087,9,54,0,0,0,0,2,0,0
OAT1,3.15557,-3.64663,255.13,0.140786266,31,1,4,1,2,0,-1,17,0,3,0,0,3,31,0,0,0,0,1,0,0
OAT1,7.50594,-8.79024,553.293,0.09179404,69,0,5,1,6,0,-1,39,0,6,0,0,7,69,0,0,0,0,1,0,0
OAT1,1.25618,-1.32798,141.74,0.318855651,15,0,5,1,1,0,-1,10,0,0,0,0,1,15,0,0,0,0,1,0,0
OAT1,-0.269092,-2.05038,294.674,0.388425854,36,0,13,4,3,0,-1,25,2,1,0,0.017473506,4,36,0,0,0,0,1,0,0
OAT1,0.772575,-4.55218,281.059,0.366382148,28,1,10,4,2,0,0,20,1,2,0,0.009711095,2,28,0,0,0,1,0,0,0
OAT1,-0.31936,-6.57789,610.805,0.299102005,45,3,19,4,5,0,-1,44,9,10,0.005473663,0.049262971,12,45,0,0,0,0,1,0,0
OAT1,-1.66662,-1.78613,226.394,0.413885969,16,0,6,4,2,1,0,16,2,3,0,0.021344421,4,16,0,0,0,1,0,1,0
OAT1,2.58608,-2.25393,288.138,0.14639166,36,2,5,1,2,0,-1,18,5,7,0,0.118536782,4,36,0,0,0,0,1,0,0
OAT1,-0.374064,-3.22592,239.275,0.434734093,17,0,10,4,2,0,0,17,1,1,0,0.009613443,1,17,0,0,0,1,0,0,0
OAT1,-1.04958,-2.00012,225.845,0.317656357,15,2,6,3,2,0,0,15,7,4,0,0.097573079,2,15,0,0,0,1,0,1,0
OAT1,-2.96911,-1.764,274.392,0.383863232,19,1,8,4,2,0,-2,19,0,4,0,0,5,19,0,0,0,1,0,0,0
OAT1,1.1816,-1.65193,190.315,0.260012085,21,0,6,1,1,0,-1,13,0,1,0,0,3,21,0,0,0,0,1,0,1
OAT1,-3.38471,-1.01282,254.85,0.417869335,30,0,8,4,2,0,-2,18,0,3,0,0,5,30,0,0,0,1,0,0,0
OAT1,-0.734363,-1.79637,239.993,0.274504256,28,2,6,2,2,0,0,16,8,4,0,0.121434567,2,28,0,0,0,0,0,1,0
OAT1,2.15131,-4.66218,353.567,0.291076373,41,1,10,4,3,0,0,27,1,3,0,0.009716757,4,41,0,0,0,1,0,0,0
OAT1,-0.290636,-2.30232,231.327,0.449260138,23,0,10,3,2,0,-1,17,1,0,0,0.009622231,1,23,0,0,0,1,0,0,0
OAT1,3.59308,-3.91814,270.794,0.133545426,33,0,3,2,2,0,-1,18,0,2,0,0,3,33,0,0,0,0,1,0,0
OAT1,-0.115239,-4.13379,424.644,0.328590537,47,2,14,4,3,0,-1,30,5,6,0.007166712,0.03583356,9,47,0,0,0,1,1,0,1
OAT3,1.35827,-4.99217,334.726,0.309354517,40,4,10,4,4,0,0,24,5,6,0.028971791,0.048286319,2,40,0,0,0,1,0,0,0
OAT3,2.4134,-3.29994,364.613,0.097765576,48,4,4,1,4,1,0,24,4,9,0.084159499,0.112212665,4,48,0,0,0,0,0,1,0
OAT3,-1.07108,-1.5625,225.035,0.312248761,28,2,5,3,2,0,0,15,8,5,0,0.113851614,2,28,0,0,0,1,0,1,0
OAT3,4.22882,-5.70397,502.814,0.112828601,68,7,7,1,3,0,0,30,13,19,0.035253597,0.229148379,7,68,0,0,0,0,0,1,0
OAT3,0.0290967,-4.62301,352.688,0.368441796,39,2,11,5,3,0,-1,30,13,19,0.015391127,0.100042326,6,39,0,0,0,1,1,0,0
OAT3,3.19902,-3.61089,327.27,0.145834326,42,1,4,2,3,0,-1,21,3,8,0,0.062857239,4,42,0,0,0,0,1,0,0
OAT3,1.56879,-3.58297,293.636,0.328758054,32,0,9,4,2,0,-1,21,0,1,0,0,5,32,0,0,0,1,1,0,0
OAT3,3.94696,-5.88537,362.671,0.141466232,41,0,6,1,3,0,-1,25,0,3,0,0,5,41,0,0,0,0,1,0,0
OAT3,-0.63179,-1.57015,215.095,0.411760385,22,0,10,2,1,0,0,14,2,2,0,0.022581621,2,22,0,0,0,1,0,0,1
OAT3,2.54711,-2.61468,347.392,0.200964328,41,3,8,2,3,0,-1,23,4,7,0.014323898,0.057295591,5,41,0,0,0,0,1,0,0
OAT3,-0.968932,-3.36359,347.4,0.261041163,41,3,9,4,3,0,-1,24,5,5,0.011027097,0.055135484,5,41,0,0,0,1,1,0,0
OAT3,4.59879,-5.69053,445.986,0.142712103,56,2,5,3,3,0,-1,30,0,7,0,0,8,56,0,0,0,0,1,2,0
OAT3,0.114936,-3.75558,348.187,0.338576684,38,2,11,4,3,0,-1,25,5,4,0.008482628,0.042413138,6,38,0,0,0,1,1,0,0
OAT3,2.49889,-6.47166,633.095,0.243878091,80,4,14,6,4,0,-2,44,8,12,0,0.051814143,10,80,0,0,0,1,0,2,0
OAT3,2.93964,-4.18936,376.291,0.254644677,45,0,9,4,2,0,-1,25,0,4,0,0,8,45,0,0,0,1,1,0,0
OAT3,0.328501,-2.50416,289.906,0.246665471,33,0,4,3,1,0,0,17,0,5,0,0,8,33,0,0,0,0,0,0,0
OAT3,3.99071,-3.69545,344.527,0.09936899,43,0,4,0,3,0,-1,23,3,5,0,0.087628851,5,43,0,0,0,0,0,0,0
OAT3,2.09457,-3.43291,345.474,0.215329952,43,0,8,2,2,0,-1,23,2,7,0,0.026885009,6,43,0,0,0,0,1,0,0
OAT3,0.184695,-4.53057,398.088,0.252615,50,2,10,5,1,1,-3,24,3,11,0,0.029832046,12,50,0,0,0,1,2,0,0
OAT3,4.8734,-6.44764,448.687,0.175529489,53,0,5,2,4,0,-1,30,0,6,0,0,8,53,0,0,0,0,0,1,0
OAT3,-1.06422,-3.98501,341.498,0.265552653,0,3,9,4,3,0,-1,24,5,4,0.011027097,0.055135484,5,38,0,0,0,1,1,0,0
OAT3,-0.189174,-4.67831,442.541,0.370770166,55,1,12,7,3,0,-2,33,0,5,0,0,10,55,0,0,0,2,2,0,0
