|   nof_acetyl  |     nof_OH    |    nof_COOH   |    nof_NH2    |     nof_SH    |    nof_SO3H   |    nof_PO4    | nof_Fragments |    nof_RotB   |negCharge/Volume|posCharge/Volume|     C_sp3     |      C_R1     |    a_heavy    | nof_negCharge | nof_posCharge |   nof_Rings   |    nof_HBD    |    nof_HBA    |  nof_Chirals  |   nof_Atoms   |    PSA/Area   |    molArea    |    molLogS    |    molLogP    |
====================================================================================================================================================================================================================================================================================================================================================================================================================
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      25.0     |      5.0      |      0.0      |      0.0      |      2.0      |      0.0      |      14.0     |      -1.0     |      0.0      |      1.0      |      2.0      |      5.0      |      0.0      |      25.0     |   0.24280963  |     218.89    |    -1.01931   |    0.715357   |
|      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      32.0     |      3.0      |   0.07344166  |      0.0      |      6.0      |      8.0      |      19.0     |      -1.0     |      1.0      |      2.0      |      2.0      |      9.0      |      3.0      |      32.0     |  0.402975799  |    270.314    |    -2.80704   |   -0.157986   |
|      0.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      57.0     |      11.0     |  0.034618127  |  0.006923625  |      9.0      |      5.0      |      34.0     |      -1.0     |      1.0      |      4.0      |      4.0      |      14.0     |      2.0      |      57.0     |  0.287380816  |    502.584    |    -3.42919   |   -0.201409   |
|      0.0      |      0.0      |      2.0      |      0.0      |      0.0      |      0.0      |      0.0      |      54.0     |      9.0      |  0.058111087  |      0.0      |      8.0      |      5.0      |      30.0     |      -2.0     |      0.0      |      3.0      |      3.0      |      10.0     |      3.0      |      54.0     |  0.189316966  |    454.487    |    -3.36321   |    1.44648    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      31.0     |      3.0      |      0.0      |      0.0      |      3.0      |      0.0      |      17.0     |      -1.0     |      0.0      |      2.0      |      1.0      |      4.0      |      1.0      |      31.0     |  0.140786266  |     255.13    |    -3.64663   |    3.15557    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      69.0     |      7.0      |      0.0      |      0.0      |      6.0      |      0.0      |      39.0     |      -1.0     |      0.0      |      6.0      |      1.0      |      5.0      |      0.0      |      69.0     |   0.09179404  |    553.293    |    -8.79024   |    7.50594    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      15.0     |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      10.0     |      -1.0     |      0.0      |      1.0      |      1.0      |      5.0      |      0.0      |      15.0     |  0.318855651  |     141.74    |    -1.32798   |    1.25618    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      36.0     |      4.0      |  0.017473506  |      0.0      |      1.0      |      2.0      |      25.0     |      -1.0     |      0.0      |      3.0      |      4.0      |      13.0     |      0.0      |      36.0     |  0.388425854  |    294.674    |    -2.05038   |   -0.269092   |
|      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      28.0     |      2.0      |  0.009711095  |      0.0      |      2.0      |      1.0      |      20.0     |      0.0      |      0.0      |      2.0      |      4.0      |      10.0     |      1.0      |      28.0     |  0.366382148  |    281.059    |    -4.55218   |    0.772575   |
