|     nof_OH    |    nof_COOH   |    nof_NH2    | nof_Fragments |    nof_RotB   |negCharge/Volume|posCharge/Volume|     C_sp3     |      C_R0     |      C_R1     |    a_heavy    | nof_negCharge | nof_posCharge |   Complexity  |   nof_Rings   |molCharge_total|    nof_HBD    |    nof_HBA    |  nof_Chirals  |   nof_Atoms   |    molArea    |     molPSA    |    molLogS    |    molLogP    |   molWeight   |
====================================================================================================================================================================================================================================================================================================================================================================================================================
|      0.0      |      1.0      |      0.0      |      26.0     |      4.0      |  -0.006079471 |  0.006079471  |      6.0      |      7.0      |      0.0      |      10.0     |      -1.0     |      1.0      |     115.0     |      0.0      |      0.0      |      1.0      |      3.0      |      0.0      |      26.0     |    203.432    |    28.4614    |    1.55167    |    0.199977   |    146.118    |
|      0.0      |      1.0      |      0.0      |      22.0     |      2.0      |  -0.00600168  |      0.0      |      1.0      |      2.0      |      0.0      |      13.0     |      -1.0     |      0.0      |     205.0     |      2.0      |      -1.0     |      2.0      |      3.0      |      0.0      |      22.0     |    189.109    |     38.493    |    -2.2539    |     1.6207    |    175.063    |
|      0.0      |      0.0      |      0.0      |      14.0     |      0.0      |  -0.011667019 |  0.011667019  |      3.0      |      3.0      |      0.0      |      5.0      |      -1.0     |      1.0      |      28.4     |      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      14.0     |    119.838    |    15.2007    |    0.947453   |    0.059772   |    75.0684    |
|      1.0      |      1.0      |      0.0      |      22.0     |      3.0      |  -0.006664845 |      0.0      |      2.0      |      3.0      |      0.0      |      12.0     |      -1.0     |      0.0      |     150.0     |      1.0      |      -1.0     |      2.0      |      4.0      |      1.0      |      22.0     |    185.888    |    44.7987    |    -1.31257   |    0.825752   |    166.063    |
|      0.0      |      0.0      |      1.0      |      25.0     |      2.0      |      0.0      |  0.005728394  |      2.0      |      2.0      |      0.0      |      13.0     |      0.0      |      1.0      |     174.0     |      2.0      |      1.0      |      4.0      |      2.0      |      0.0      |      25.0     |    199.404    |    48.8818    |    -2.64922   |    0.953595   |    176.095    |
|      6.0      |      0.0      |      0.0      |      26.0     |      5.0      |      0.0      |      0.0      |      6.0      |      6.0      |      0.0      |      12.0     |      0.0      |      0.0      |     105.0     |      0.0      |      0.0      |      6.0      |      6.0      |      4.0      |      26.0     |    201.163    |     98.414    |    0.297241   |    -3.59888   |    182.079    |
|      0.0      |      1.0      |      2.0      |      25.0     |      6.0      |  -0.005948345 |  0.005948345  |      4.0      |      6.0      |      0.0      |      12.0     |      -1.0     |      1.0      |     171.0     |      0.0      |      0.0      |      6.0      |      6.0      |      1.0      |      25.0     |    200.016    |     94.931    |   -0.288822   |    -2.28789   |    175.096    |
|      0.0      |      2.0      |      0.0      |      44.0     |      13.0     |  -0.007075063 |      0.0      |      12.0     |      14.0     |      0.0      |      18.0     |      -2.0     |      0.0      |     202.0     |      0.0      |      -2.0     |      2.0      |      6.0      |      0.0      |      44.0     |    340.381    |    57.2776    |    -3.43356   |    4.28918    |    258.183    |
|      1.0      |      1.0      |      0.0      |      33.0     |      8.0      |  -0.004901528 |      0.0      |      9.0      |      10.0     |      0.0      |      13.0     |      -1.0     |      0.0      |     134.0     |      0.0      |      -1.0     |      2.0      |      4.0      |      1.0      |      33.0     |    254.108    |    45.0702    |     -2.747    |    2.75316    |    188.141    |
|      2.0      |      1.0      |      0.0      |      68.0     |      4.0      |  -0.002271948 |      0.0      |      23.0     |      7.0      |      11.0     |      28.0     |      -1.0     |      0.0      |     605.0     |      4.0      |      -1.0     |      3.0      |      5.0      |      10.0     |      68.0     |    451.064    |    60.2802    |    -4.95279   |    4.86794    |    392.293    |
|      0.0      |      1.0      |      1.0      |      17.0     |      4.0      |  -0.008038004 |      0.0      |      2.0      |      4.0      |      0.0      |      9.0      |      -1.0     |      0.0      |     123.0     |      0.0      |      -1.0     |      4.0      |      5.0      |      0.0      |      17.0     |    147.683    |     74.118    |    0.188859   |    -1.10399   |    132.053    |
|      0.0      |      2.0      |      1.0      |      22.0     |      5.0      |  -0.013575613 |  0.006787806  |      4.0      |      6.0      |      0.0      |      11.0     |      -2.0     |      1.0      |     157.0     |      0.0      |      -1.0     |      4.0      |      7.0      |      1.0      |      22.0     |    181.458    |    78.0907    |   0.0295359   |    -1.71411   |    161.069    |
|      0.0      |      0.0      |      1.0      |      15.0     |      0.0      |      0.0      |      0.0      |      2.0      |      1.0      |      3.0      |      8.0      |      0.0      |      0.0      |     151.0     |      1.0      |      0.0      |      2.0      |      3.0      |      0.0      |      15.0     |    128.903    |    47.4318    |    0.236111   |    -1.41533   |    113.059    |
|      0.0      |      1.0      |      0.0      |      20.0     |      3.0      |  -0.006176843 |      0.0      |      3.0      |      3.0      |      3.0      |      12.0     |      -1.0     |      0.0      |     238.0     |      1.0      |      -1.0     |      3.0      |      7.0      |      1.0      |      20.0     |     171.2     |    78.9606    |    -1.27665   |     -1.073    |    172.048    |
|      0.0      |      1.0      |      0.0      |      15.0     |      1.0      |  -0.006443548 |      0.0      |      0.0      |      1.0      |      4.0      |      11.0     |      -1.0     |      0.0      |     268.0     |      1.0      |      -1.0     |      3.0      |      7.0      |      0.0      |      15.0     |    138.268    |    77.8294    |    -1.59249   |   -0.785244   |    156.017    |
|      0.0      |      2.0      |      0.0      |      8.0      |      1.0      |  -0.029448836 |      0.0      |      0.0      |      2.0      |      0.0      |      6.0      |      -2.0     |      0.0      |      71.5     |      0.0      |      -2.0     |      2.0      |      6.0      |      0.0      |      8.0      |    83.0883    |    57.3262    |   -0.336569   |   -0.535826   |    89.9953    |
