SLC,molVolume,molLogP,molLogS,molPSA,PSA/Area,nof_HBA,nof_HBD,molCharge_total,nof_Rings,Complexity,nof_posCharge,nof_negCharge,C_R2,C_R1,C_R0,C_sp3,posCharge/Volume,negCharge/Volume,nof_PO4,nof_SO3H,nof_SH,nof_NH2,nof_COOH,nof_OH,nof_acetyl
OAT1,169.968,-0.161808,-1.72797,65.2854,0.316486169,8,1,-1,1,294,0,-1,0,0,2,1,0,-0.00588346,0,1,0,0,0,0,1
OAT1,353.964,6.73082,-5.44018,28.8938,0.071679521,3,1,-1,0,267,0,-1,0,0,18,13,0,-0.002825146,0,0,0,0,1,0,0
OAT1,358.755,6.31187,-4.91555,28.8938,0.074204633,3,1,-1,0,301,0,-1,0,0,18,11,0,-0.002787418,0,0,0,0,1,0,0
OAT1,425.59,8.65858,-7.12867,28.8938,0.059139651,3,1,-1,0,318,0,-1,0,0,22,17,0,-0.002349679,0,0,0,0,1,0,0
OAT1,364.128,5.89293,-4.38247,28.8938,0.076325751,3,1,-1,0,335,0,-1,0,0,18,9,0,-0.002746287,0,0,0,0,1,0,0
OAT1,239.364,-1.92117,-1.3502,101.939,0.358698903,9,5,-1,0,303,1,-2,0,0,10,7,0.004177738,-0.008355475,0,0,0,1,2,0,0
OAT1,279.972,-3.06799,-1.107,126.877,0.391371003,11,6,-1,0,384,1,-2,0,0,11,7,0.003571786,-0.007143572,0,0,0,1,2,0,0
OAT1,143.418,0.368668,-1.70497,51.5454,0.275520087,6,1,-1,1,228,0,-1,0,0,1,1,0,-0.006972625,0,1,0,0,0,0,0
OAT1,581.619,5.40562,-3.01407,82.2933,0.12322031,9,1,0,0,623,1,-1,0,0,26,21,0.001719339,-0.001719339,1,0,0,0,0,1,0
OAT1,298.223,0.192931,1.09796,76.4709,0.226299498,10,1,-1,0,342,1,-2,0,0,13,10,0.003353195,-0.006706391,0,0,0,0,2,0,0
OAT1,96.4337,-1.75299,-0.781528,49.7068,0.433223807,5,4,0,0,75.3,1,-1,0,0,3,2,0.010369819,-0.010369819,0,0,1,1,1,0,0
OAT1,240.323,-2.91302,-2.66184,125.097,0.477730212,8,6,-1,3,446,0,-1,0,6,1,5,0,-0.004161067,0,0,0,1,0,3,0
