|  Sub Pathway  | Super Pathway |   nof_acetyl  |     nof_OH    |    nof_COOH   |    nof_NH2    |     nof_SH    |    nof_SO3H   |    nof_PO4    | nof_Fragments |negCharge/Volume|posCharge/Volume|      C_R0     |      C_R1     | nof_negCharge | nof_posCharge |   Complexity  |   nof_Rings   |molCharge_total|  nof_Chirals  |    PSA/Area   |     molPSA    |    molLogS    |    molLogP    |   molWeight   |
====================================================================================================================================================================================================================================================================================================================================================================================================================
|       0       |       0       |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      22.0     |  -0.00588346  |      0.0      |      2.0      |      0.0      |      -1.0     |      0.0      |     294.0     |      1.0      |      -1.0     |      0.0      |  0.316486169  |    65.2854    |    -1.72797   |   -0.161808   |    216.009    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      52.0     |  -0.002825146 |      0.0      |      18.0     |      0.0      |      -1.0     |      0.0      |     267.0     |      0.0      |      -1.0     |      0.0      |  0.071679521  |    28.8938    |    -5.44018   |    6.73082    |     280.24    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      50.0     |  -0.002787418 |      0.0      |      18.0     |      0.0      |      -1.0     |      0.0      |     301.0     |      0.0      |      -1.0     |      0.0      |  0.074204633  |    28.8938    |    -4.91555   |    6.31187    |    278.225    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      64.0     |  -0.002349679 |      0.0      |      22.0     |      0.0      |      -1.0     |      0.0      |     318.0     |      0.0      |      -1.0     |      0.0      |  0.059139651  |    28.8938    |    -7.12867   |    8.65858    |    336.303    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      48.0     |  -0.002746287 |      0.0      |      18.0     |      0.0      |      -1.0     |      0.0      |     335.0     |      0.0      |      -1.0     |      0.0      |  0.076325751  |    28.8938    |    -4.38247   |    5.89293    |    276.209    |
|       0       |       0       |      0.0      |      0.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      35.0     |  -0.008355475 |  0.004177738  |      10.0     |      0.0      |      -2.0     |      1.0      |     303.0     |      0.0      |      -1.0     |      2.0      |  0.358698903  |    101.939    |    -1.3502    |    -1.92117   |    246.122    |
|       0       |       0       |      0.0      |      0.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      39.0     |  -0.007143572 |  0.003571786  |      11.0     |      0.0      |      -2.0     |      1.0      |     384.0     |      0.0      |      -1.0     |      2.0      |  0.391371003  |    126.877    |     -1.107    |    -3.06799   |    289.127    |
|       0       |       0       |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      20.0     |  -0.006972625 |      0.0      |      1.0      |      0.0      |      -1.0     |      0.0      |     228.0     |      1.0      |      -1.0     |      0.0      |  0.275520087  |    51.5454    |    -1.70497   |    0.368668   |    188.014    |
|       0       |       0       |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      1.0      |      85.0     |  -0.001719339 |  0.001719339  |      26.0     |      0.0      |      -1.0     |      1.0      |     623.0     |      0.0      |      0.0      |      1.0      |   0.12322031  |    82.2933    |    -3.01407   |    5.40562    |    519.332    |
