Average AUC,Average AUC Features,DT AUC,DT AUC Features,RFW AUC,RFW AUC Features,NAIVE BAYES AUC,NAIVE BAYES Features,KNN AUC,KNN Features,LOGISTIC REGRESSION AUC,LOGISTIC REGRESSION Features
0.8814814814814815,"C_R0, Complexity, molCharge_total, nof_HBA, molArea",1.0,"nof_Chirals, PSA/Area, molArea, molLogS, molLogP",1.0,"molCharge_total, nof_HBD, nof_Chirals, molArea, molLogP",0.9629629629629629,"nof_RotB, C_R0, nof_HBA, nof_Atoms, molWeight",0.9629629629629629,"C_R0, nof_Rings, nof_Chirals, molLogS, molLogP",0.9259259259259259,"C_R2, nof_HBA, nof_Chirals, molArea, molVolume"
0.8814814814814815,"nof_RotB, C_R0, nof_HBD, nof_HBA, molLogS",1.0,"molCharge_total, nof_HBD, PSA/Area, molArea, molLogP",1.0,"molCharge_total, nof_HBD, nof_HBA, nof_Chirals, molLogP",0.9629629629629629,"nof_RotB, C_R0, nof_HBD, nof_HBA, molVolume",0.9629629629629629,"C_R0, nof_negCharge, nof_Rings, molLogS, molLogP",0.9259259259259259,"C_R2, Complexity, molPSA, molLogS, molVolume"
0.8814814814814815,"nof_RotB, C_R0, nof_negCharge, nof_HBA, molLogS",1.0,"nof_posCharge, nof_Chirals, PSA/Area, molArea, molLogP",1.0,"nof_posCharge, molCharge_total, nof_HBD, nof_Chirals, molArea",0.9259259259259259,"C_R0, nof_Chirals, nof_Atoms, molVolume, molWeight",0.9629629629629629,"nof_RotB, C_R0, nof_Chirals, PSA/Area, molLogS",0.9259259259259259,"C_R2, Complexity, nof_Atoms, molLogS, molVolume"
0.8740740740740742,"C_R0, Complexity, nof_HBA, molPSA, molVolume",1.0,"nof_posCharge, molCharge_total, PSA/Area, molArea, molLogP",1.0,"nof_posCharge, molCharge_total, nof_HBD, nof_HBA, molLogP",0.9259259259259259,"C_R0, nof_Chirals, nof_Atoms, molArea, molWeight",0.9629629629629629,"nof_RotB, C_R0, molCharge_total, nof_Chirals, molLogS",0.9259259259259259,"C_R1, C_R2, nof_HBA, molArea, molVolume"
0.8740740740740742,"posCharge/Volume, Complexity, PSA/Area, molArea, molLogS",1.0,"nof_negCharge, PSA/Area, molArea, molLogS, molLogP",1.0,"nof_negCharge, molArea, molPSA, molLogS, molLogP",0.9259259259259259,"C_R0, nof_Chirals, nof_Atoms, molArea, molVolume",0.9629629629629629,"nof_RotB, C_R0, molCharge_total, nof_HBD, molLogP",0.9259259259259259,"nof_Fragments, Complexity, molCharge_total, PSA/Area, molLogS"
0.874074074074074,"Complexity, nof_Chirals, PSA/Area, molArea, molLogP",1.0,"nof_negCharge, nof_Chirals, PSA/Area, molArea, molLogP",1.0,"nof_negCharge, nof_Chirals, molArea, molPSA, molLogP",0.9259259259259259,"C_R0, nof_HBA, nof_Atoms, molPSA, molVolume",0.9629629629629629,"nof_RotB, C_R0, nof_Rings, nof_Chirals, molLogS",0.8888888888888888,"nof_HBD, nof_HBA, molArea, molLogS, molVolume"
0.874074074074074,"Complexity, nof_HBA, molArea, molLogS, molVolume",1.0,"nof_negCharge, nof_HBD, PSA/Area, molArea, molLogP",1.0,"nof_negCharge, nof_Chirals, PSA/Area, molArea, molLogP",0.9259259259259259,"C_R0, nof_HBA, nof_Atoms, molPSA, molLogS",0.9629629629629629,"nof_RotB, C_R0, nof_Rings, nof_Chirals, PSA/Area",0.8888888888888888,"nof_HBD, nof_HBA, PSA/Area, molArea, molVolume"
0.874074074074074,"Complexity, molCharge_total, nof_HBA, molArea, molVolume",1.0,"nof_negCharge, molCharge_total, PSA/Area, molArea, molLogP",1.0,"nof_negCharge, nof_HBA, nof_Chirals, molLogS, molLogP",0.9259259259259259,"C_R0, nof_HBA, nof_Atoms, molArea, molPSA",0.9629629629629629,"nof_RotB, C_R0, nof_Rings, nof_HBA, nof_Chirals",0.8888888888888888,"Complexity, molArea, molPSA, molLogS, molVolume"
0.874074074074074,"Complexity, molCharge_total, nof_HBD, PSA/Area, molArea",1.0,"nof_negCharge, nof_posCharge, PSA/Area, molArea, molLogP",1.0,"nof_negCharge, nof_HBD, molArea, molLogS, molLogP",0.9259259259259259,"C_R0, nof_HBD, nof_HBA, molVolume, molWeight",0.9629629629629629,"nof_RotB, C_R0, nof_Rings, nof_HBD, molLogP",0.8888888888888888,"Complexity, nof_Atoms, PSA/Area, molLogS, molLogP"
0.874074074074074,"nof_negCharge, Complexity, nof_HBA, molArea, molVolume",1.0,"C_R2, molCharge_total, PSA/Area, molArea, molLogP",1.0,"nof_negCharge, nof_HBD, nof_Chirals, molArea, molLogP",0.9259259259259259,"C_R0, nof_HBD, nof_HBA, nof_Atoms, molWeight",0.9629629629629629,"nof_RotB, C_R0, nof_posCharge, nof_Chirals, molLogS",0.8888888888888888,"Complexity, nof_HBA, molArea, molLogS, molVolume"
